sample ID	forward sequence count
ERR4656746	38912
ERR4656740	25503
ERR4656741	21183
ERR4656745	19859
ERR4656742	18679
ERR4656748	16195
ERR4656749	14755
ERR4656744	13583
ERR4656747	8308
ERR4656743	7399
