SampleID
L1S8
L1S57
L1S76
L1S105
L2S155
L2S175
L2S204
L2S222
L3S242
L3S294
L3S313
L3S341
L3S360
L5S104
L5S155
L5S174
L5S203
L5S222
L1S140
L1S208
L1S257
L1S281
L2S240
L2S309
L2S357
L2S382
L3S378
L4S63
L4S112
L4S137
L5S240
L6S20
L6S68
L6S93
